name,credit_card,email,url,phone,address,company,ssn,text,True Predictions
Jodi Reynolds,"VISA 16 digit
Nicole Moore
4617450186711515 03/34
CVC: 989
",laurajackson@example.net,https://www.nelson.net/,+91 5469393861,"2367 John Ports Suite 589
Lake Alexander, DC 45911","Charles, Martinez and Oneill",199-75-4287,"The complete report for Charles, Martinez and Oneill is available at https://wwwnelsonnet/.","[(24, 52, 'company')]"
Rodney Moss,"Diners Club / Carte Blanche
Stephanie Brady
30377032550978 01/28
CVC: 051
",brownrobert@example.com,http://thompson-huerta.org/,+177 3860338413,"2890 Diaz Summit Apt. 945
Lake Jaredshire, WA 80259",Lee and Sons,376-89-0292,Contact Rodney Moss at brownrobert@example.com or +177 3860338413.,"[(8, 19, 'name'), (23, 46, 'email'), (50, 65, 'phone')]"
Christopher Sparks,"JCB 16 digit
Kathleen Sellers
3585873706626931 09/32
CVC: 552
",andrew76@example.net,http://allen.com/,+91 0526525259,"1852 Fry Track Suite 071
New Ashley, WI 07566",Ferguson and Sons,034-28-6554,"Payment made by Christopher Sparks using card JCB 16 digit
Kathleen Sellers
3585873706626931 09/32
CVC: 552
.","[(16, 34, 'name'), (46, 108, 'credit_card')]"
Gary Thompson,"Discover
Ruth Ochoa
6586645579336406 10/27
CVC: 829
",lisa29@example.com,https://www.ramirez.com/,+91 2276404847,"523 Justin Mill Suite 070
Gallegosstad, AR 33759",Schaefer-Reed,300-26-3959,"The address is 523 Justin Mill Suite 070
Gallegosstad, AR 33759.","[(15, 63, 'address')]"
Julie Kim,"VISA 16 digit
Janet Wheeler
4756126252186607 09/32
CVC: 166
",ianlong@example.org,https://www.bolton-maxwell.biz/,+07 1107577675,"PSC 1698, Box 4692
APO AP 02370",Robinson-Joseph,514-96-3710,SSN 514-96-3710 is required.,"[(4, 15, 'ssn')]"
Alison Johnson,"VISA 16 digit
Joseph Richards
4252185357645627 11/31
CVC: 315
",eileen68@example.net,https://rojas-rogers.net/,+928 5161809864,"365 Nicole Gardens
Annchester, DC 61082",Smith-Hughes,033-79-4340,"Invoice for Smith-Hughes, sent to 365 Nicole Gardens
Annchester, DC 61082.","[(34, 73, 'address'), (12, 24, 'company')]"
Debra Ford,"American Express
Stephanie Mercer
376034983994935 03/35
CID: 1825
",ericadunn@example.org,http://www.gonzalez.info/,+772 7781349693,"539 Taylor Mountains Suite 290
Stephensonmouth, HI 78753",Anderson-Miles,810-61-0565,Reach out to Debra Ford regarding the Anderson-Miles audit,"[(13, 23, 'name'), (38, 52, 'company')]"
William Newton,"VISA 16 digit
Natalie Maddox
4284607789280584 05/34
CVC: 938
",valerie96@example.org,https://www.powell.biz/,+976 0477773913,"Unit 0112 Box 9549
DPO AE 85650","Lloyd, Miller and Wright",421-73-4150,My email is valerie96@example.org and phone is +976 0477773913.,"[(12, 33, 'email'), (47, 62, 'phone')]"
Cynthia Joseph,"Discover
Joseph Golden
6575227082180838 07/34
CVC: 578
",brandon40@example.net,http://www.foster-jordan.com/,+70 8087477444,"9864 Lane Fort Apt. 521
Millerbury, AR 77087","Wilson, Lynch and Campbell",835-75-9172,"Confirmed transaction on card Discover
Joseph Golden
6575227082180838 07/34
CVC: 578
 for Cynthia Joseph.","[(90, 104, 'name'), (30, 85, 'credit_card')]"
Emily Fernandez,"Discover
Lori Parker
6578812833290387 08/28
CVC: 490
",victoria89@example.net,https://harris.com/,+876 5565509217,"2748 Matthew Passage Suite 632
Rachelton, MA 14360","Collins, Soto and Sims",899-99-5417,Verify SSN 899-99-5417 at https://harris.com/.,"[(26, 45, 'url'), (11, 22, 'ssn')]"
Ian Gonzalez,"VISA 16 digit
Kellie Simpson
4596700966488808 04/26
CVC: 711
",esilva@example.org,https://www.fowler-lane.com/,+91 4203568445,"9437 Christopher Roads Apt. 426
Michaelchester, KY 26472",Holmes and Sons,642-51-4683,The complete report for Holmes and Sons is available at https://www.fowler-lane.com/.,"[(56, 84, 'url'), (24, 39, 'company')]"
Chelsea Norman,"VISA 16 digit
Destiny Price
4096495765802573 10/27
CVC: 609
",lcole@example.org,http://www.fields.com/,+91 6276100126,"236 Herman Knoll
West Carolynberg, RI 13014",Hunt-Richards,002-91-4967,Contact Chelsea Norman at lcole@example.org or +91 6276100126.,"[(8, 22, 'name'), (26, 43, 'email'), (47, 61, 'phone')]"
Brian Rodriguez,"JCB 16 digit
Jason Russell
3576031792357074 06/26
CVC: 976
",williamsjoseph@example.org,http://www.lee.biz/,+36 6226540558,"19088 Doyle Junctions Apt. 019
Samanthaside, CO 32139",Bowman LLC,602-03-5710,"Payment made by Brian Rodriguez using card JCB 16 digit
Jason Russell
3576031792357074 06/26
CVC: 976
","[(16, 31, 'name'), (43, 102, 'credit_card')]"
Joshua Moore,"VISA 19 digit
Tammy Rodriguez
4073575871136353754 10/32
CVC: 473
",efoster@example.org,https://www.williams-clark.com/,+475 6166021924,"7590 King Skyway Suite 518
Bobbybury, CA 96178",Sutton-Lane,517-34-3945,"The address is 7590 King Skyway Suite 518
Bobbybury, CA 96178.","[(15, 61, 'address')]"
Amanda Ruiz,"Maestro
Jay Simmons
676389594422 07/29
CVV: 057
",hsmith@example.com,https://brown.com/,+198 1254443323,"16706 Robert Plains
Lake Lauraside, SC 07093",Gomez-Hood,139-28-0039,SSN 139-28-0039 is required.,"[(4, 15, 'ssn')]"
Suzanne Andersen,"VISA 16 digit
Victor Daugherty
4397876167968987 05/30
CVC: 938
",ortizbrian@example.com,https://jones.biz/,+91 5376255223,"USNS Schmidt
FPO AP 94183",Garcia-Clark,695-25-8086,"Invoice for Garcia-Clark, sent to USNS Schmidt
FPO AP 94183","[(34, 59, 'address'), (12, 24, 'company')]"
Eric Santos,"JCB 16 digit
Marissa Morton
3541491192216985 02/30
CVC: 635
",jeffreywarren@example.com,https://www.tran-cox.net/,+19 7238423255,"7778 Brooks Skyway Apt. 672
Owensmouth, AL 65826",Wilson PLC,326-20-1494,Reach out to Eric Santos regarding the Wilson PLC audit,"[(13, 24, 'name'), (39, 49, 'company')]"
Tony Evans,"Discover
John Taylor
6516049815575510 11/31
CVC: 932
",millerpatricia@example.com,http://smith.com/,+166 2979994465,"1312 Quinn Fork Suite 287
Lopezville, IL 05357",Robinson Inc,285-81-3778,My email is millerpatricia@example.com and phone is +166 2979994465.,"[(12, 38, 'email'), (52, 67, 'phone')]"
Zachary Shaw,"VISA 16 digit
Barbara Donaldson
4227104751513689 05/26
CVC: 392
",laurasanchez@example.org,http://garrison-diaz.biz/,+91 6275179016,"547 Yu Road
Port Jennifer, NJ 12741",Costa Ltd,667-45-6628,"Confirmed transaction on card VISA 16 digit
Barbara Donaldson
4227104751513689 05/26
CVC: 392
 for Zachary Shaw","[(99, 111, 'name'), (30, 94, 'credit_card')]"
Gabriel Becker,"VISA 13 digit
Grant Larson
4243626110300 09/26
CVC: 253
",beardjames@example.net,https://garcia.com/,+91 6155785930,"04467 Meredith Wall Suite 171
South Edwinfort, WV 31297",Baker Group,510-78-4299,Verify SSN 510-78-4299 at https://garcia.com/.,"[(26, 45, 'url'), (11, 22, 'ssn')]"
Michelle Jones,"Discover
Brian Brennan
6011682917861568 08/33
CVC: 808
",delacruzkendra@example.net,http://www.zamora-villa.net/,+835 5462053189,"359 Baker Trail
Leeview, AL 87624",Martin Ltd,607-54-5254,The complete report for Martin Ltd is available at http://wwwzamora-villa.net/.,"[(24, 34, 'company')]"
Leah Jacobs,"JCB 16 digit
Stephen Yu
3518546929760388 05/28
CVC: 948
",wmay@example.com,http://hart-sanchez.com/,+41 1839038258,"036 Natasha Track
Simpsonmouth, TX 64465",Pratt-Rodriguez,139-12-8655,Contact Leah Jacobs at wmay@example.com or +41 1839038258.,"[(8, 19, 'name'), (23, 39, 'email'), (43, 57, 'phone')]"
Erika Brown,"JCB 16 digit
Nicole Harding
3576869378020958 01/34
CVC: 163
",joshuamendoza@example.com,http://www.goodman-bryant.com/,+179 5660208666,"578 Daniel Ranch
Lake Dawn, AS 20928","Tucker, Sanchez and Wilson",544-36-8301,"Payment made by Erika Brown using card JCB 16 digit
Nicole Harding
3576869378020958 01/34
CVC: 163
.","[(16, 27, 'name'), (39, 99, 'credit_card')]"
Erika Mitchell,"American Express
Joseph Garrison
345472317652589 10/32
CID: 0458
",scott24@example.org,https://www.bass.com/,+80 4932107132,"5108 James Squares Suite 220
Andrealand, SC 43589",Rodriguez-Hall,384-21-4096,"The address is 5108 James Squares Suite 220
Andrealand, SC 43589.","[(15, 64, 'address')]"
Traci Ward,"JCB 16 digit
Rachel Hanna
3512445953963503 12/30
CVC: 804
",nhorn@example.com,http://www.hunter.com/,+91 0093908433,"8568 Logan Ramp
Smithmouth, NV 17294","Chapman, Shepherd and King",394-10-2972,SSN 394-10-2972 is required.,"[(4, 15, 'ssn')]"
Michael Hoffman,"Discover
Faith Campbell
6011368875014065 07/33
CVC: 330
",donald32@example.net,https://huber-wright.com/,+84 6432431166,"978 Jennifer Corner
Jensentown, PA 88602","Johnston, Brown and White",034-72-6535,"Invoice for Johnston, Brown and White, sent to 978 Jennifer Corner
Jensentown, PA 88602","[(47, 87, 'address'), (12, 37, 'company')]"
Donna Smith,"JCB 15 digit
Caitlin Rodgers
213110318339025 10/31
CVC: 142
",romandeanna@example.com,https://www.west.com/,+56 8424980533,"414 Johnson Alley
South Markmouth, MP 11753",Reed PLC,480-07-4406,Reach out to Donna Smith regarding the Reed PLC audit.,"[(13, 24, 'name'), (39, 47, 'company')]"
Ann Mccoy,"Maestro
Richard Brown
502027744908 06/28
CVV: 762
",kimberlysmith@example.org,http://www.hansen.com/,+941 5811383269,"2434 Jones Inlet
Johnsonton, CO 75243",Burton-Daniels,732-63-5012,My email is kimberlysmith@example.org and phone is +941 5811383269.,"[(12, 37, 'email'), (51, 66, 'phone')]"
Johnathan Patterson,"VISA 16 digit
David Curtis
4214784409223909 01/31
CVC: 517
",lisa75@example.net,http://williams.biz/,+91 7030133454,"212 Patterson Villages
East Latoya, ME 96087",Wood-Mclaughlin,014-43-6056,"Confirmed transaction on card VISA 16 digit
David Curtis
4214784409223909 01/31
CVC: 517
 for Johnathan Patterson","[(94, 113, 'name'), (30, 89, 'credit_card')]"
Dustin Osborne,"Mastercard
Robert Kelley
5124485892915318 08/33
CVV: 699
",brenda53@example.com,https://www.montoya-white.com/,+228 7373327416,"728 Katrina Estate Suite 182
Micheleside, FM 73569",Turner and Sons,845-01-7042,Verify SSN 845-01-7042 at https://www.montoya-white.com/.,"[(26, 56, 'url'), (11, 22, 'ssn')]"
William Wells,"JCB 16 digit
Eric Rodriguez
3541308713135835 02/31
CVC: 127
",leahsullivan@example.com,http://hall.com/,+802 0896272009,"5067 Martinez Curve Apt. 549
Brianfort, OR 33722",Brown and Sons,430-31-6362,The complete report for Brown and Sons is available at http://hall.com/.,"[(55, 71, 'url'), (24, 38, 'company')]"
David Spencer,"JCB 15 digit
Garrett Day
180099115142857 03/33
CVC: 669
",crystal27@example.org,http://www.martin.com/,+91 0569397259,"44529 Michelle Gardens
Lake Caseyburgh, SD 96625",Mills Ltd,394-81-7583,Contact David Spencer at crystal27@example.org or +91 0569397259.,"[(8, 21, 'name'), (25, 46, 'email'), (50, 64, 'phone')]"
Emily Todd,"VISA 16 digit
Jessica Bright
4668595996692764 02/33
CVC: 852
",david35@example.org,https://peterson.com/,+85 9541880482,"61253 Brian Prairie Suite 670
Shahfort, SD 44112",Montoya Group,750-70-9630,"Payment made by Emily Todd using card VISA 16 digit
Jessica Bright
4668595996692764 02/33
CVC: 852
.","[(16, 26, 'name'), (38, 99, 'credit_card')]"
Austin Ward,"American Express
Tiffany Colon
374941798213917 11/35
CID: 3739
",evansheather@example.net,http://www.scott.biz/,+91 5464738681,"91886 Cunningham Drive Apt. 390
New Keithview, MI 45871","Weaver, Perry and Frank",377-08-0323,"The address is 91886 Cunningham Drive Apt. 390
New Keithview, MI 45871.","[(15, 70, 'address')]"
Nicole Johnson,"JCB 16 digit
Paul Long
3500699058912518 06/26
CVC: 409
",schmittkelsey@example.net,http://www.gibson-coleman.org/,+580 9982689616,"044 Stanley Crescent Apt. 937
Lake Bradleyland, WY 58519",Hansen-Garcia,225-03-5909,SSN 225-03-5909 is required.,"[(4, 15, 'ssn')]"
Terry Holland,"VISA 16 digit
Jean Thomas
4662595695350538 07/34
CVC: 979
",bakerlisa@example.org,http://clay.com/,+91 2093001222,"567 Riley Roads Apt. 031
Alexanderburgh, ME 09450",Cole-Jackson,242-33-3790,"Invoice for Cole-Jackson, sent to 567 Riley Roads Apt. 031
Alexanderburgh, ME 09450.","[(34, 83, 'address'), (12, 24, 'company')]"
Kenneth Waters,"VISA 16 digit
Richard Allen
4715552118729464 03/35
CVC: 898
",christophermoss@example.com,http://morris.com/,+91 0476608304,"6461 Katelyn Fields Suite 869
Matthewshire, CT 28224","Rush, Fox and Medina",347-30-0649,"Reach out to Kenneth Waters regarding the Rush, Fox and Medina audit.","[(13, 27, 'name'), (42, 62, 'company')]"
Laura Bishop,"VISA 16 digit
Hunter Alexander
4406587179728603 12/29
CVC: 095
",jennifergarcia@example.com,https://www.hall-hernandez.com/,+03 3793483286,"000 Mark Squares
Port Donnafurt, PA 67970",Johnson-Frye,551-81-3335,My email is jennifergarcia@example.com and phone is +03 3793483286.,"[(12, 38, 'email'), (52, 66, 'phone')]"
Debra Dean,"VISA 16 digit
Christine Chase
4677272387866766 01/27
CVC: 283
",carolbishop@example.org,http://boyd-cantu.com/,+603 8802804439,"7532 Robert Pine Suite 875
Lake Kevinport, PA 99355",Pugh-Haynes,800-49-9048,"Confirmed transaction on card VISA 16 digit
Christine Chase
4677272387866766 01/27
CVC: 283
 for Debra Dean","[(97, 107, 'name'), (30, 92, 'credit_card')]"
Michael Garcia,"VISA 16 digit
Julia Ramsey
4912094677831994 04/30
CVC: 280
",cassandrataylor@example.net,http://www.chang.com/,+80 9259591987,"63232 Lam Fork Suite 516
New John, GA 64122",Miller Ltd,601-33-3886,Verify SSN 601-33-3886 at http://wwwchangcom/,"[(11, 22, 'ssn')]"
Mckenzie Forbes,"VISA 16 digit
Michael Steele
4844021588611747 12/27
CVC: 841
",ljennings@example.net,https://dean.com/,+293 4213719179,"35584 Patrick Inlet
Lake Randy, ID 59318",Clarke-Garcia,334-95-3254,The complete report for Clarke-Garcia is available at https://deancom/.,"[(24, 37, 'company')]"
Mark Powell,"Diners Club / Carte Blanche
Kelly Gibson
30550806371421 12/25
CVC: 351
",sbond@example.com,https://howard-mcconnell.org/,+06 3576739913,"47939 Shannon Lights
East Danielle, VT 23373","Sullivan, Page and Hoffman",015-32-7386,Contact Mark Powell at sbond@examplecom or +06 3576739913.,"[(8, 19, 'name'), (43, 57, 'phone')]"
Angela Mccormick,"VISA 19 digit
Brent Paul
4224510132377175704 12/27
CVC: 469
",hsilva@example.org,https://hart.net/,+011 2493652207,"Unit 3321 Box 7081
DPO AA 04981",Carr-Lee,041-98-4566,"Payment made by Angela Mccormick using card VISA 19 digit
Brent Paul
4224510132377175704 12/27
CVC: 469
","[(16, 32, 'name'), (44, 104, 'credit_card')]"
Robert Mckinney,"Mastercard
Christine Rangel
5435595653830052 09/27
CVV: 516
",shawn62@example.com,https://white-beck.info/,+91 3666435513,"92409 Jesus Island
New Kimberlyberg, CO 20526","Holmes, Case and Taylor",292-44-9784,"The address is 92409 Jesus Island
New Kimberlyberg, CO 20526.","[(15, 60, 'address')]"
Joseph Nash,"VISA 19 digit
Damon Barrera
4926587391849433798 04/26
CVC: 522
",christinaking@example.net,https://tanner.org/,+85 0208297176,"018 Cross Estate
North Jeff, PA 35202",Smith-Castro,866-44-0903,SSN 866-44-0903 is required,"[(4, 15, 'ssn')]"
Jessica Hernandez,"Maestro
Jordan Young
581191256105 06/30
CVV: 092
",branditucker@example.com,https://www.boyd.info/,+91 3532929083,"521 Victoria Center
Howardmouth, VI 90562",Fisher-Andrade,187-57-0682,"Invoice for Fisher-Andrade, sent to 521 Victoria Center
Howardmouth, VI 90562.","[(36, 77, 'address'), (12, 26, 'company')]"
Madeline Tyler,"Discover
Timothy Hall
6011440559599156 01/33
CVC: 762
",hmiller@example.net,http://www.barnes.org/,+06 7891325915,"680 Sanchez Falls Apt. 857
New Bryanton, VI 91148",Jones-Gaines,883-13-6202,Reach out to Madeline Tyler regarding the Jones-Gaines audit.,"[(13, 27, 'name'), (42, 54, 'company')]"
Kelly Goodman,"VISA 19 digit
Nicholas Jones
4193550430453855167 03/31
CVC: 152
",steven37@example.net,http://www.mills.com/,+91 7915316789,"04842 Michael Spur Suite 316
New Aaronview, PR 16405","Blanchard, Turner and Acosta",096-38-5518,My email is steven37@examplenet and phone is +91 7915316789.,"[(45, 59, 'phone')]"
Sara Edwards,"Diners Club / Carte Blanche
Rachael Rios
30234212586449 10/33
CVC: 430
",uvaldez@example.net,https://leach.info/,+17 8289605010,"123 Ryan Rue
Lake Craig, NM 99591",Buchanan Group,500-82-8615,"Confirmed transaction on card Diners Club / Carte Blanche
Rachael Rios
30234212586449 10/33
CVC: 430
 for Sara Edwards","[(106, 118, 'name'), (30, 101, 'credit_card')]"
Sabrina Norton,"VISA 16 digit
Justin Saunders
4387292125176147 07/31
CVC: 971
",lisa42@example.net,http://stewart-bullock.net/,+386 1067402704,"220 Paula Ramp Apt. 337
Hernandezfurt, MS 87981","Castillo, Duke and Leach",075-39-5979,Verify SSN 075-39-5979 at http://stewart-bullocknet/.,"[(11, 22, 'ssn')]"
David Rivera,"Mastercard
Cheryl Boyle
2244032930331348 02/30
CVV: 781
",williamsroger@example.org,https://www.wiley.com/,+98 9681532520,"2350 Walters Cliffs Apt. 513
Henryfurt, NC 50378","Thomas, Saunders and Thompson",274-89-5057,"The complete report for Thomas, Saunders and Thompson is available at https://www.wiley.com/.","[(70, 92, 'url'), (24, 53, 'company')]"
Victoria Hayden,"JCB 16 digit
Karen Moon
3540401211307559 02/26
CVC: 492
",jhernandez@example.org,https://www.west-daniels.info/,+91 5362435785,"0858 Tiffany Wells
Delgadoburgh, MH 06894","Adams, Brown and Ali",190-03-7946,Contact Victoria Hayden at jhernandez@exampleorg or +91 5362435785,"[(8, 23, 'name'), (52, 66, 'phone')]"
Jason Maddox,"JCB 16 digit
Jeffrey Whitehead
3569506078849968 01/33
CVC: 097
",ileonard@example.com,https://mason-mendoza.com/,+91 7873872402,"9843 Kyle Tunnel
Rhodesview, AR 16646",Stark Group,316-73-9213,"Payment made by Jason Maddox using card JCB 16 digit
Jeffrey Whitehead
3569506078849968 01/33
CVC: 097
","[(16, 28, 'name'), (40, 103, 'credit_card')]"
Scott Holmes,"JCB 16 digit
Brian Stout
3589599829734429 12/25
CVC: 561
",walterwise@example.com,http://www.adams.com/,+842 8042669236,"18871 Hanson Loop Suite 442
Lake Julie, FM 53928",Powers Ltd,775-10-1012,"The address is 18871 Hanson Loop Suite 442
Lake Julie, FM 53928","[(15, 63, 'address')]"
Mr. Justin Obrien,"JCB 16 digit
John Rasmussen
3535064274703432 07/35
CVC: 164
",richardsjacob@example.net,http://www.hernandez.com/,+91 3305207267,"Unit 4375 Box 2638
DPO AP 77569","Cannon, Reynolds and Carpenter",598-76-8083,SSN 598-76-8083 is required.,"[(4, 15, 'ssn')]"
Wyatt Robles,"VISA 16 digit
Deborah Vargas
4313890969945888 10/34
CVC: 430
",edavis@example.net,https://www.gardner.com/,+72 3989854848,"Unit 0278 Box 0788
DPO AA 49081",Phillips LLC,184-02-7634,"Invoice for Phillips LLC, sent to Unit 0278 Box 0788
DPO AA 49081.","[(34, 65, 'address'), (12, 24, 'company')]"
Jennifer Wheeler,"VISA 13 digit
Victor Rice
4586624380873 10/30
CVC: 062
",robertvaldez@example.com,https://griffin.biz/,+05 0783596872,"61800 Sarah Forge Apt. 804
Deborahfurt, GU 61342","Davis, Armstrong and Smith",715-24-4249,"Reach out to Jennifer Wheeler regarding the Davis, Armstrong and Smith audit.","[(13, 29, 'name'), (44, 70, 'company')]"
Michelle Riley,"JCB 16 digit
Charles Stark
3568366007532032 10/31
CVC: 144
",jonesdavid@example.org,https://hill-reynolds.com/,+68 5833169297,"748 William Locks
Angelaborough, MO 62176","Sharp, Bradford and Chen",696-37-8101,My email is jonesdavid@exampleorg and phone is +68 5833169297.,"[(47, 61, 'phone')]"
William Graham,"JCB 16 digit
Alicia Hurst
3536286042996852 08/33
CVC: 579
",lauren88@example.com,https://alexander-ramirez.com/,+91 9950339996,"338 Jeffrey Centers Suite 988
East Michelle, FL 22679",Mccullough-Patrick,680-52-6417,"Confirmed transaction on card JCB 16 digit
Alicia Hurst
3536286042996852 08/33
CVC: 579
 for William Graham","[(93, 107, 'name'), (30, 88, 'credit_card')]"
Mrs. Brenda Hawkins,"JCB 16 digit
Chloe Ramirez
3500541376695187 08/31
CVC: 675
",williamsjeff@example.org,http://king.net/,+91 9322342959,"887 Jennifer Harbor
Rhodeston, PA 37375",Wright LLC,526-16-8332,Verify SSN 526-16-8332 at http://king.net/.,"[(26, 42, 'url'), (11, 22, 'ssn')]"
Beth Williams,"American Express
Barbara Howell
379320223952230 01/32
CID: 4873
",mooreheather@example.net,https://www.davis.com/,+91 7841287890,"64996 John Mall
West Joshuaton, PR 81945","Hall, Jacobs and Solis",083-42-2818,"The complete report for Hall, Jacobs and Solis is available at https://wwwdavis.com/.","[(24, 46, 'company')]"
Scott Hayes,"JCB 15 digit
Stephen Navarro
213166513953051 10/30
CVC: 298
",stephanie53@example.org,http://www.perez-boyle.com/,+69 7284908009,"8663 Watts Ridge Suite 820
Lake Cindy, OR 60914",Johnson-Peterson,764-92-5228,Contact Scott Hayes at stephanie53@example.org or +69 7284908009.,"[(8, 19, 'name'), (23, 46, 'email'), (50, 64, 'phone')]"
Nicole Thomas,"American Express
Karen Rodgers
377040634566757 01/34
CID: 6893
",blakeblackwell@example.com,https://harper.com/,+178 4802823886,"4691 Obrien Islands Apt. 869
Greenfort, SC 93670","Estrada, Stanton and Vasquez",612-33-9956,"Payment made by Nicole Thomas using card American Express
Karen Rodgers
377040634566757 01/34
CID: 6893
","[(16, 29, 'name'), (41, 104, 'credit_card')]"
Kenneth Ramsey,"Diners Club / Carte Blanche
Daniel Ellis
30439008458162 10/29
CVC: 211
",cruzalex@example.com,https://potter.org/,+599 5788458820,"1928 Jeffrey Stravenue Suite 203
North Scott, GU 30537",Kim PLC,131-08-8500,"The address is 1928 Jeffrey Stravenue Suite 203
North Scott, GU 30537","[(15, 69, 'address')]"
Steven West DVM,"JCB 16 digit
Frank Huber
3524694680740827 12/29
CVC: 755
",tmorgan@example.com,https://berry.net/,+420 6295342352,"116 Smith Corners
Floydton, PW 31140","Blackwell, Thomas and Osborne",536-72-2544,SSN 536-72-2544 is required,"[(4, 15, 'ssn')]"
Misty Henderson MD,"VISA 19 digit
Jonathan Powers
4459655214582824180 04/31
CVC: 039
",hgood@example.net,http://kim.com/,+91 6340660009,"USNS Erickson
FPO AP 45305",Miller-Baker,733-55-8119,"Invoice for Miller-Baker, sent to USNS Erickson
FPO AP 45305","[(34, 60, 'address'), (12, 24, 'company')]"
Frank White,"VISA 16 digit
Michelle Turner
4635028911944870 02/26
CVC: 174
",tkeith@example.com,https://mahoney.info/,+91 2505059539,"0092 Toni Path
Annport, NY 90667",Morris-Smith,466-45-9922,Reach out to Frank White regarding the Morris-Smith audit.,"[(13, 24, 'name'), (39, 51, 'company')]"
Cassandra Lewis,"JCB 15 digit
Charles Summers
180002050941374 01/27
CVC: 518
",coledeborah@example.com,http://www.dunn-taylor.com/,+241 8642558613,"307 Martinez Spurs
West Stacieborough, MN 44581","Kelley, Carr and Hill",200-06-6663,My email is coledeborah@example.com and phone is +241 8642558613.,"[(12, 35, 'email'), (49, 64, 'phone')]"
Ronald Henry,"VISA 16 digit
Karen Duncan
4940248243000395 12/30
CVC: 682
",mullensylvia@example.com,https://www.smith.info/,+41 8395955482,"879 Nathan Port
Lake Bradyton, NE 08145",Rodriguez-Mendoza,701-03-4919,"Confirmed transaction on card VISA 16 digit
Karen Duncan
4940248243000395 12/30
CVC: 682
 for Ronald Henry.","[(94, 106, 'name'), (30, 89, 'credit_card')]"
